iter	Passed	Remaining
590	1485	3542
591	1488	3540
592	1491	3537
593	1493	3534
594	1495	3532
595	1498	3529
596	1500	3526
597	1503	3524
598	1505	3521
599	1508	3519
600	1510	3516
601	1513	3514
602	1515	3511
603	1518	3508
604	1520	3506
605	1522	3503
606	1525	3500
607	1527	3498
608	1530	3495
609	1532	3493
610	1535	3490
611	1538	3488
612	1540	3485
613	1542	3482
614	1545	3479
615	1547	3477
616	1550	3474
617	1552	3472
618	1555	3469
619	1557	3466
620	1560	3464
621	1562	3462
622	1565	3459
623	1567	3457
624	1570	3454
625	1572	3451
626	1575	3449
627	1577	3446
628	1580	3444
629	1582	3441
630	1584	3438
631	1587	3436
632	1589	3433
633	1592	3430
634	1594	3428
635	1597	3425
636	1599	3423
637	1602	3421
638	1604	3418
639	1607	3416
640	1610	3413
641	1612	3410
642	1615	3408
643	1617	3406
644	1620	3403
645	1622	3400
646	1624	3398
647	1627	3395
648	1629	3392
649	1632	3390
650	1634	3387
651	1637	3385
652	1640	3383
653	1642	3380
654	1645	3378
655	1647	3375
656	1650	3373
657	1652	3370
658	1655	3368
659	1657	3365
660	1660	3363
661	1662	3360
662	1665	3357
663	1667	3355
664	1670	3352
665	1672	3350
666	1674	3347
667	1677	3344
668	1679	3342
669	1682	3339
670	1684	3336
671	1687	3334
672	1689	3331
673	1692	3329
674	1694	3326
675	1697	3324
676	1699	3321
677	1702	3319
678	1705	3317
679	1707	3315
680	1710	3312
681	1712	3309
682	1715	3307
683	1717	3304
684	1720	3302
685	1722	3299
686	1725	3297
687	1727	3294
688	1730	3291
689	1732	3289
690	1735	3287
691	1737	3284
692	1740	3282
693	1742	3279
694	1745	3277
695	1747	3274
696	1750	3272
697	1752	3269
698	1755	3267
699	1757	3264
700	1760	3262
701	1763	3259
702	1765	3257
703	1768	3254
704	1770	3252
705	1774	3251
706	1776	3249
707	1779	3247
708	1782	3246
709	1785	3244
710	1788	3243
711	1791	3241
712	1795	3240
713	1798	3238
714	1801	3236
715	1804	3235
716	1806	3233
717	1810	3232
718	1813	3230
719	1816	3228
720	1819	3226
721	1821	3224
722	1824	3223
723	1827	3221
724	1830	3219
725	1833	3217
726	1836	3215
727	1839	3213
728	1842	3212
729	1845	3209
730	1848	3208
731	1850	3206
732	1854	3204
733	1857	3203
734	1860	3202
735	1863	3200
736	1866	3198
737	1869	3196
738	1872	3195
739	1875	3193
740	1878	3192
741	1881	3189
742	1884	3188
743	1887	3186
744	1890	3184
745	1893	3183
746	1896	3181
747	1899	3179
748	1902	3177
749	1905	3176
